txId,class
1309,unknown
1043,2
1184,2
1300,unknown
1157,2
1046,2
1019,2
1060,2
1017,2
1287,1
1024,2
1166,2
1092,2
1267,1
1298,unknown
1053,2
1235,2
1128,2
1014,2
1179,2
1142,2
1241,2
1252,2
1290,unknown
1108,2
1115,2
1320,unknown
1222,2
1247,2
1240,2
1251,2
1250,2
1095,2
1152,2
1226,2
1061,2
1310,unknown
1007,2
1103,2
1306,unknown
1328,unknown
1032,2
1071,2
1273,1
1031,2
1261,1
1281,1
1189,2
1145,2
1253,2
1305,unknown
1199,2
1173,2
1003,2
1064,2
1196,2
1129,2
1001,2
1069,2
1324,unknown
1057,2
1010,2
1285,1
1276,1
1063,2
1220,2
1034,2
1227,2
1085,2
1112,2
1114,2
1148,2
1067,2
1016,2
1282,1
1044,2
1255,2
1274,1
1048,2
1076,2
1065,2
1111,2
1089,2
1292,unknown
1026,2
1228,2
1153,2
1271,1
1232,2
1322,unknown
1084,2
1174,2
1141,2
1090,2
1278,1
1102,2
1077,2
1272,1
1097,2
1133,2
1040,2
1000,2
1214,2
1288,1
1130,2
1167,2
1056,2
1181,2
1143,2
1160,2
1211,2
1075,2
1162,2
1210,2
1308,unknown
1093,2
1200,2
1052,2
1188,2
1050,2
1042,2
1081,2
1122,2
1299,unknown
1091,2
1231,2
1297,unknown
1045,2
1002,2
1015,2
1206,2
1291,unknown
1159,2
1106,2
1319,unknown
1072,2
1119,2
1134,2
1277,1
1028,2
1070,2
1197,2
1201,2
1037,2
1125,2
1177,2
1204,2
1256,2
1055,2
1317,unknown
1223,2
1025,2
1198,2
1289,1
1158,2
1194,2
1127,2
1049,2
1004,2
1013,2
1316,unknown
1203,2
1101,2
1293,unknown
1302,unknown
1176,2
1140,2
1047,2
1215,2
1068,2
1022,2
1212,2
1283,1
1182,2
1323,unknown
1269,1
1088,2
1248,2
1138,2
1254,2
1329,unknown
1183,2
1260,1
1161,2
1270,1
1259,2
1036,2
1120,2
1279,1
1263,1
1217,2
1268,1
1027,2
1136,2
1172,2
1242,2
1326,unknown
1314,unknown
1202,2
1246,2
1185,2
1213,2
1275,1
1074,2
1116,2
1280,1
1062,2
1104,2
1243,2
1195,2
1011,2
1169,2
1030,2
1110,2
1154,2
1207,2
1236,2
1041,2
1294,unknown
1144,2
1296,unknown
1187,2
1059,2
1286,1
1307,unknown
1230,2
1137,2
1131,2
1318,unknown
1132,2
1124,2
1244,2
1239,2
1264,1
1109,2
1245,2
1191,2
1018,2
1165,2
1126,2
1118,2
1078,2
1023,2
1238,2
1265,1
1208,2
1094,2
1105,2
1311,unknown
1224,2
1171,2
1135,2
1098,2
1149,2
1218,2
1205,2
1039,2
1054,2
1155,2
1033,2
1284,1
1312,unknown
1083,2
1008,2
1087,2
1021,2
1209,2
1029,2
1080,2
1301,unknown
1190,2
1304,unknown
1192,2
1051,2
1038,2
1156,2
1266,1
1100,2
1233,2
1146,2
1313,unknown
1193,2
1315,unknown
1139,2
1005,2
1020,2
1178,2
1082,2
1096,2
1058,2
1321,unknown
1150,2
1107,2
1258,2
1262,1
1073,2
1035,2
1180,2
1234,2
1168,2
1079,2
1303,unknown
1221,2
1249,2
1237,2
1164,2
1151,2
1219,2
1099,2
1163,2
1295,unknown
1113,2
1006,2
1121,2
1229,2
1257,2
1175,2
1186,2
1170,2
1216,2
1086,2
1225,2
1123,2
1147,2
1325,unknown
1117,2
1066,2
1009,2
1327,unknown
1012,2
